,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
189,Arraial do Cabo,BR,84.25,-22.97,-42.02,74,0,8.05
190,San Carlos de Bariloche,AR,66.2,-41.13,-71.31,25,0,8.05
191,Zaraza,VE,90.95,9.35,-65.33,43,79,14.14
192,Saint-Augustin,FR,58.03,44.83,-0.61,62,0,8.05
193,Coquimbo,CL,60.8,-29.95,-71.34,72,0,10.29
194,Were Ilu,ET,69.89,10.6,39.43,55,26,5.99
195,Kichmengskiy Gorodok,RU,39.11,59.99,45.81,93,47,4.81
196,Kiomboi,TZ,72.41,-4.28,34.41,75,100,0.87
197,Samarinda,ID,72.59,-0.5,117.14,90,50,1.43
198,Thalgau,AT,51.64,47.84,13.25,61,0,3.36
199,Praia da Vitoria,PT,62.31,38.73,-27.07,82,75,11.45
200,Mareeba,AU,70.27,-16.99,145.42,83,75,8.05
201,Azare,NG,89.51,11.67,10.19,14,51,7.18
202,San Quintin,PH,77.81,17.54,120.52,80,0,2.46
203,Numan,NG,96.89,9.46,12.04,20,30,3.53
204,Bogandinskiy,RU,37.4,56.89,65.89,69,40,4.47
205,Mayumba,GA,81.77,-3.44,10.65,83,100,6.76
206,Katherine,AU,68,-14.47,132.26,88,53,4.7
207,Klaksvik,FO,46.4,62.23,-6.59,100,100,14.99
208,Agadez,NE,89.6,16.97,7.99,7,1,11.7
209,Tezu,IN,66.65,27.93,96.16,45,3,3.96
210,Kungurtug,RU,23.27,50.6,97.53,81,100,3.87
211,Portland,US,57.36,45.52,-122.67,58,90,4.7
212,Yakeshi,CN,32.63,49.28,120.73,22,100,7.29
213,Mogzon,RU,33.17,51.74,111.97,61,100,2.59
214,Henderson,US,74.43,36.04,-114.98,25,40,5.82
215,Kapustin Yar,RU,47.21,48.58,45.77,35,0,5.97
216,New Norfolk,AU,53.6,-42.78,147.06,54,40,10.29
217,Talnakh,RU,10.4,69.49,88.39,85,75,22.37
218,Harsum,DE,54.68,52.21,9.96,41,0,3.36
219,Banepa,NP,59,27.63,85.52,87,40,4.7
220,Gravelbourg,CA,55.31,49.88,-106.56,24,0,12.82
221,Howard Springs,AU,76.41,-12.5,131.05,88,20,4.7
222,Marienburg,DE,54.7,52.12,9.98,41,0,3.36
223,College,US,48,64.86,-147.8,31,20,13.87
224,Bayan,MN,42.17,47.25,107.54,55,74,7.56
225,Wewak,PG,76.91,-3.55,143.63,88,92,0.63
226,Harer,US,48.88,42.19,-111.17,75,90,6.93
227,Pa Sang,TH,76.12,18.53,98.94,83,20,4.7
228,Oshakati,NA,82.4,-17.78,15.7,32,8,3.36
229,Sazonovo,RU,37,54.2,39.81,46,0,3.85
230,Kedrovyy,RU,21.2,56.17,91.82,73,40,8.95
231,Muncar,ID,72.41,-8.43,114.34,96,65,2.3
232,Sayyan,YE,70.43,15.17,44.32,73,45,4.12
233,Pagudpud,PH,81.41,18.56,120.79,82,0,8.93
234,Cockburn Town,TC,79.43,21.46,-71.14,78,36,14.83
235,Monte Gordo,ES,63.95,37.18,-7.45,72,20,5.82
236,Dzerzhinskoye,RU,22.01,56.84,95.22,78,0,8.95
237,Kenai,US,41.76,60.55,-151.26,65,75,26.4
238,Buala,SB,82.67,-8.15,159.59,79,100,10.98
239,Hualmay,PE,68.63,-11.1,-77.61,94,16,12.82
240,Mar del Plata,AR,65.03,-46.43,-67.52,32,9,5.41
241,Lompoc,US,65.34,34.64,-120.46,72,20,18.34
242,Bambanglipuro,ID,81.95,-7.95,110.28,80,100,10.47
243,Burnie,AU,50,-41.05,145.91,82,98,1.99
244,Shingu,JP,55.49,33.72,135.99,99,99,2.24
245,Vanimo,PG,80.69,-2.67,141.3,82,100,7.74
246,Pevek,RU,-0.13,69.7,170.27,90,5,6.67
247,Kaduy,RU,33.8,59.2,37.15,73,0,2.66
248,Yulara,AU,51.8,-25.24,130.99,53,0,5.82
249,Arrifes,PT,60.8,37.77,-25.7,72,20,11.41
250,Belaya Gora,RU,23.27,68.54,146.19,92,99,7.63
251,Timbuktu,ML,91.67,16.77,-3.01,11,0,3.65
252,Ondangwa,NA,82.4,-17.91,15.98,32,8,3.36
253,Abapo,BO,87.71,-18.83,-63.47,51,97,5.59
254,Naze,NG,82.4,5.43,7.07,83,75,2.24
255,Marseille,FR,63.57,43.3,5.37,39,0,8.05
256,Leirvik,NO,53.13,59.78,5.5,57,0,14.99
257,Cuamba,MZ,67.73,-14.8,36.54,82,67,7.09
258,Tromso,NO,39.2,69.65,18.96,86,75,36.91
259,Farah,AF,74.21,32.37,62.11,40,0,6.29
260,Grindavik,IS,44.58,63.84,-22.43,70,75,8.05
261,Dukat,RS,46.99,42.44,22.31,58,0,3.85
262,Batemans Bay,AU,53.65,-35.71,150.18,95,100,2.17
263,Necochea,AR,60.01,-38.55,-58.74,67,44,4
264,Amapa,HN,86.49,15.09,-87.97,55,40,14.99
265,Leningradskiy,RU,1.85,69.38,178.42,89,100,20.49
266,Bubaque,GW,76.91,11.28,-15.83,71,74,18.07
267,Faya,SA,65.34,18.39,42.45,82,0,8.05
268,Kolpashevo,RU,17.87,58.31,82.9,88,0,5.59
269,Luderitz,NA,59,-26.65,15.16,77,0,12.75
270,Valentin Gomez Farias,MX,83.68,24.05,-104.7,7,75,14.99
271,Karratha,AU,71.69,-20.74,116.85,18,1,17.92
272,Road Town,VG,79.72,18.42,-64.62,65,40,11.41
273,Zheleznodorozhnyy,RU,47.8,55.75,38,45,0,2.24
274,Norden,DE,54.01,53.59,7.21,58,0,9.17
275,Dubbo,AU,60.8,-32.25,148.6,82,100,5.82
276,Piopio,CL,50,-42.79,-73.57,93,53,4.7
277,Guiyang,CN,60.8,26.58,106.71,100,90,2.24
278,Viedma,AR,61.07,-40.81,-62.99,53,18,6.71
279,Khatanga,RU,-8.06,71.98,102.47,99,100,3.09
280,Kjollefjord,NO,40.48,70.95,27.35,80,75,29.97
281,Ribeira Grande,PT,62.6,38.52,-28.7,82,40,4.7
282,Yebaishou,CN,48.29,41.4,119.64,30,99,8.84
283,Oytal,KZ,49.37,42.91,73.27,96,92,5.66
284,Laukaa,FI,46.71,62.42,25.95,45,0,5.82
285,Homer,US,32.34,59.64,-151.54,83,90,4.7
286,Coffeyville,US,81.79,37.04,-95.62,34,1,29.97
287,Chiang Klang,TH,74.03,19.29,100.86,66,0,0.89
288,Constitucion,MX,83.68,23.99,-104.67,7,75,14.99
289,Tuatapere,NZ,44.01,-46.13,167.69,96,1,9.42
290,Sobolevo,RU,46.49,54.43,31.9,67,55,4.74
291,Honningsvag,NO,39.94,70.98,25.97,80,75,41.38
292,Saint Anthony,US,47.79,43.97,-111.68,81,90,11.41
293,Severo-Yeniseyskiy,RU,15.35,60.37,93.04,95,97,7.49
294,Rodrigues Alves,BR,78.8,-7.74,-72.65,94,75,11.41
295,Sao Filipe,CV,71.69,14.9,-24.5,82,0,17.4
296,Kudahuvadhoo,MV,85.55,2.67,72.89,73,100,12.75
297,Alice Springs,AU,57.2,-23.7,133.88,58,0,8.05
298,Port-Cartier,CA,38.14,50.03,-66.88,93,90,2.24
299,Tautira,PF,86,-17.73,-149.15,70,75,6.93
300,Svetlaya,RU,34.97,46.54,138.33,35,0,6.49
301,Haftoni,AZ,37.65,38.76,48.76,100,90,2.62
302,Oistins,BB,84.2,13.07,-59.53,62,40,18.34
303,Faanui,PF,83.75,-16.48,-151.75,73,100,6.26
304,Kielce,PL,50.52,50.87,20.63,1,79,7.78
305,Dali,CN,47.93,25.6,100.24,61,0,3.36
306,Pisco,PE,74.25,-13.71,-76.2,30,0,6.93
307,Champawat,IN,58.01,29.34,80.09,74,1,3.69
308,Carnarvon,ZA,54.95,-30.97,22.13,58,0,26.37
309,Srednekolymsk,RU,22.91,67.46,153.71,80,27,12.95
310,Pestovo,RU,48.54,55.36,37.98,52,0,4.56
311,Novikovo,UA,38.21,45.05,34.56,75,24,4.25
312,Luganville,VU,77,-15.51,167.18,100,40,4.7
313,Mahebourg,MU,77.29,-20.41,57.7,94,75,11.41
314,Tiznit,MA,63.77,29.7,-9.73,85,1,20.62
315,Rawson,AR,63.77,-43.3,-65.11,35,0,5.35
316,Newport,GB,56.08,51.59,-3,44,0,3.36
317,Juneau,US,43.23,58.3,-134.42,81,90,12.75
318,Singkang,MY,80.15,2.1,102.8,88,75,7.87
319,Tlacotepec,MX,77,18.96,-99.93,22,40,9.17
320,Imbituba,BR,80.6,-28.24,-48.67,57,75,4.7
321,Te Anau,NZ,43.07,-45.41,167.72,80,1,1.88
322,Kailua,US,79.45,21.39,-157.74,69,75,11.41
323,Maniitsoq,GL,29.03,65.42,-52.9,86,99,15.3
324,Hokitika,NZ,59.63,-42.72,170.96,59,1,5.35
325,Hobyo,SO,83.21,5.35,48.53,75,48,13.15
326,Vrangel,RU,39.65,42.73,133.08,37,0,5.03
327,Setermoen,NO,39.63,68.86,18.35,96,75,29.97
328,Yenangyaung,MM,83.03,20.46,94.87,36,0,4.92
329,Bahia Honda,CU,75.29,22.9,-83.16,57,0,14.41
330,Cayenne,GF,84.2,4.94,-52.33,70,20,13.87
331,Qingdao,CN,53.6,36.09,120.35,93,75,3.51
332,Barcelos,PT,60.6,41.53,-8.62,77,0,3.36
333,Caravelas,BR,80.33,-17.73,-39.27,77,17,6.96
334,Bielsk Podlaski,PL,44.67,52.77,23.19,85,83,1.01
335,Trinidad,UY,62.87,-33.52,-56.9,59,0,9.71
336,Skala,GR,55.29,36.85,22.66,81,75,1.25
337,Sorland,NO,42.8,67.67,12.69,75,40,8.05
338,Kurchum,KZ,38.03,48.57,83.65,66,100,8.57
339,Teeli,RU,29.03,51.01,90.2,60,32,3.27
340,Nova Olimpia,BR,85.73,-14.8,-57.29,69,100,1.9
341,Chuy,UY,64.13,-33.69,-53.46,62,0,15.19
342,Chateaubelair,VC,82.67,13.28,-61.25,69,20,13.87
343,Hvide Sande,DK,48,56.01,8.13,57,0,1.12
344,Nuuk,GL,32,64.17,-51.74,77,75,12.75
345,Hambantota,LK,83.03,6.12,81.12,79,98,8.25
346,Corrientes,AR,76.14,-27.47,-58.83,83,90,2.24
347,Baykit,RU,20.75,61.68,96.39,90,100,10.27
348,Santa Maria,BR,69.8,-29.69,-53.81,88,90,8.05
349,Port Lincoln,AU,60.17,-34.72,135.86,59,100,8.57
350,Larsnes,NO,49.93,62.2,5.58,93,75,4.7
351,San Cristobal,EC,56.12,-0.39,-78.55,82,75,6.93
352,Lagoa,PT,62.58,37.14,-8.45,72,20,5.82
353,Sucre,BO,69.8,-19.05,-65.26,43,20,16.11
354,Mahabad,IR,44.33,36.77,45.72,60,68,2.75
355,Umm Lajj,SA,74.21,25.02,37.27,52,0,24.23
356,Lulea,SE,44.6,65.58,22.15,75,0,5.82
357,Kambove,CD,63.59,-10.88,26.6,95,100,3.67
358,Ouango,CD,76.91,4.31,22.55,42,51,0.83
359,Zabid,YE,67.91,14.2,44.5,84,100,4.07
360,Zhireken,RU,29.21,52.82,117.29,32,99,3.2
361,Tartagal,AR,73.4,-22.52,-63.8,88,75,6.93
362,Wattegama,LK,73.49,7.35,80.68,92,64,1.52
363,Guilin,CN,71.6,25.28,110.29,83,90,6.71
364,Nytva,RU,41,57.94,55.33,56,0,8.95
365,Lingao,CN,79.97,19.91,109.69,84,1,7.27
366,Fortuna,ES,56.68,38.18,-1.13,72,75,9.17
367,Dubti,ET,87.53,11.74,41.09,40,18,16.82
368,Nesna,NO,38.97,66.2,13.02,80,75,11.43
369,Shelburne,CA,55.42,44.08,-80.2,58,20,6.93
370,Bonavista,CA,42.01,48.65,-53.11,84,98,4
371,Buraydah,SA,73.4,26.33,43.97,16,0,16.11
372,Yilan,TW,74.25,24.75,121.75,88,20,6.93
373,Caceres,CO,82.85,5.53,-74.53,40,100,3.69
374,Bosaso,SO,82.85,11.28,49.18,72,33,3.49
375,Comodoro Rivadavia,AR,64.4,-45.87,-67.48,39,0,8.05
376,Vestmanna,FO,46.4,62.16,-7.17,100,100,14.99
377,Vostok,RU,32.63,46.45,135.83,42,0,3.49
378,Ossora,RU,31.55,59.24,163.07,77,49,0.69
379,Nichinan,JP,57,31.65,131.31,78,2,2.39
380,Airai,TL,73.31,-8.93,125.41,72,59,6.24
381,Fagernes,NO,35.51,60.99,9.24,80,86,3.18
382,Yaan,NG,92.57,7.38,8.57,37,99,6.98
383,Walvis Bay,NA,57.74,-22.95,14.51,82,49,2.24
384,Khani,GE,42.8,41.96,42.96,93,75,2.24
385,Khasan,RU,42.53,42.43,130.64,30,0,4.72
386,Pacific Grove,US,65.14,36.62,-121.92,49,1,9.17
387,Swellendam,ZA,64.4,-34.02,20.44,72,28,10.29
388,Manta,RO,47.75,45.1,24.1,81,98,2.8
389,Mayya,RU,17.6,61.74,130.28,100,0,2.24
390,Wagar,US,78.66,31.44,-87.99,24,0,2.46
391,Yichun,CN,31.55,47.72,128.88,40,98,2.28
392,Mao,DO,85.84,19.55,-71.08,48,40,18.34
393,Rocha,UY,57.47,-34.48,-54.34,67,0,6.15
394,Trairi,BR,75.29,-3.28,-39.27,96,100,3.27
395,Antofagasta,CL,66.2,-23.65,-70.4,63,20,16.11
396,Sunrise Manor,US,74.53,36.21,-115.07,25,40,5.82
397,Zapolyarnyy,RU,39.2,69.43,30.82,69,0,33.33
398,Mehriz,IR,69.8,31.58,54.44,13,0,2.24
399,Isiro,CD,73.67,2.77,27.62,57,61,1.45
400,Verkhnyaya Inta,RU,35.33,65.99,60.32,95,99,15.14
401,Saint-Joseph,FR,61.12,43.56,6.97,72,0,1.12
402,Goderich,CA,53.55,43.74,-81.71,67,19,3
403,Taoudenni,ML,83.21,22.68,-3.98,12,0,11.61
404,Maragogi,BR,76.37,-9.01,-35.22,79,55,3.78
405,Coihaique,CL,58.46,-45.58,-72.07,62,0,2.33
406,Bonthe,SL,83.39,7.53,-12.5,77,37,7.92
407,Tema,GH,84.2,5.66,-0.01,79,0,11.41
408,Barentu,ER,81.05,15.11,37.59,27,65,4.5
409,Qitaihe,CN,37.13,45.77,131.01,32,0,1.95
410,Porto Novo,BR,78.8,-23.68,-45.44,69,40,9.82
411,Boyolangu,ID,72.23,-8.09,111.9,96,52,2.77
412,Lexington Park,US,64.54,38.26,-76.45,59,40,9.17
413,Kirakira,SB,81.41,-10.46,161.92,78,100,2.95
414,Nome,US,77.09,30.04,-94.42,44,1,12.75
415,Acapulco,MX,84.2,16.86,-99.88,70,5,5.82
416,Talas,TR,37.11,38.69,35.55,64,75,2.24
417,Inuvik,CA,41,68.36,-133.71,52,20,9.17
418,Rangapara,IN,64.13,26.82,92.69,57,2,4.32
419,Poretskoye,RU,49.37,55.2,46.33,51,97,0.67
420,High Rock,BS,77,26.63,-78.28,50,40,10.29
421,Kang,BW,67.37,-23.67,22.79,58,100,27.45
422,Alamosa,US,58.93,37.47,-105.87,11,40,16.11
423,Dingle,PH,73.85,11,122.67,89,34,7.36
424,Zonguldak,TR,48.29,41.25,31.83,64,72,0.98
425,Itamaraju,BR,74.57,-17.04,-39.53,87,9,5.66
426,Rome,IT,59.92,41.89,12.48,58,0,4.7
427,Manono,CD,73.49,-7.3,27.4,77,93,1.92
428,General Roca,AR,75.2,-39.03,-67.58,29,0,8.05
429,Fougamou,GA,76.73,-1.22,10.59,95,100,3.2
430,Adrar,DZ,77,27.87,-0.29,20,0,11.41
431,Kendari,ID,74.39,-3.99,122.52,96,100,2.68
432,Banposh,IN,76.55,22.25,84.8,57,0,1.36
433,Kiama,AU,64.13,-34.67,150.86,100,94,2.62
434,Black River,JM,80.74,18.03,-77.85,74,40,23.04
435,Xochihuehuetlan,MX,99.41,17.92,-98.43,16,0,3.18
